Common Name,Scientific Name,Location Name,Observation Date,How Many,Latitude,Longitude
Mottled Wood-Owl,Strix ocellata,"Daithan, Maharashtra, IN (19.35, 75.804)",2024-09-06 19:08,1,19.3497565,75.8039044
Clamorous Reed Warbler,Acrocephalus stentoreus,"Ramsagar Lake, Tirora",2024-09-06 17:41,2,21.4170845,79.9198137
Asian Woolly-necked Stork,Ciconia episcopus,Nala Park,2024-09-06 17:10,1,18.5161546,73.8980158
Indian Nightjar,Caprimulgus asiaticus,"Unnamed Road, Mudholi, Maharashtra, IN (20.222, 79.31)",2024-09-06 17:10,1,20.2220183,79.3099642
Blue-eared Kingfisher,Alcedo meninting,Garva Agro Tourism,2024-09-06 16:00,2,17.3448626,73.3370447
Common Greenshank,Tringa nebularia,Kharghar Bird Watching Area,2024-09-06 15:00,4,19.0443913,73.0862743
Little Stint,Calidris minuta,Kharghar Bird Watching Area,2024-09-06 15:00,52,19.0443913,73.0862743
Tibetan Sand-Plover,Anarhynchus atrifrons,Kharghar Bird Watching Area,2024-09-06 15:00,12,19.0443913,73.0862743
Marsh Sandpiper,Tringa stagnatilis,Kharghar Bird Watching Area,2024-09-06 15:00,1,19.0443913,73.0862743
Pacific Golden-Plover,Pluvialis fulva,Kharghar Bird Watching Area,2024-09-06 15:00,8,19.0443913,73.0862743
Wood Sandpiper,Tringa glareola,Kharghar Bird Watching Area,2024-09-06 15:00,4,19.0443913,73.0862743
Eurasian Wryneck,Jynx torquilla,"Virar, Maharashtra, IN (19.48, 72.767)",2024-09-06 09:40,1,19.4796799,72.7669194
Ashy Woodswallow,Artamus fuscus,"Virar, Maharashtra, IN (19.48, 72.767)",2024-09-06 09:40,4,19.4796799,72.7669194
White-cheeked Tern,Sterna repressa,Sassoon Dock,2024-09-06 09:30,1,18.9122546,72.8254294
Brown-cheeked Fulvetta,Alcippe poioicephala,"My House, Ranvi, Guhagar",2024-09-06 09:13,2,17.5376767,73.17646
Common Cuckoo,Cuculus canorus,"MTDC Road, Moharli, Maharashtra, IN (20.19, 79.338)",2024-09-06 08:49,1,20.1901559,79.3375513
White-naped Woodpecker,Chrysocolaptes festivus,"MTDC Road, Moharli, Maharashtra, IN (20.19, 79.338)",2024-09-06 08:49,1,20.1901559,79.3375513
Sanderling,Calidris alba,"Mamachi Wadi Beach, Arnala",2024-09-06 07:31,4,19.4787984,72.7577788
Caspian Tern,Hydroprogne caspia,"Mamachi Wadi Beach, Arnala",2024-09-06 07:31,1,19.4787984,72.7577788
Whimbrel,Numenius phaeopus,"Mamachi Wadi Beach, Arnala",2024-09-06 07:31,2,19.4787984,72.7577788
Terek Sandpiper,Xenus cinereus,"Mamachi Wadi Beach, Arnala",2024-09-06 07:31,5,19.4787984,72.7577788
Black-bellied Plover,Pluvialis squatarola,"Mamachi Wadi Beach, Arnala",2024-09-06 07:31,2,19.4787984,72.7577788
Eurasian Oystercatcher,Haematopus ostralegus,"Mamachi Wadi Beach, Arnala",2024-09-06 07:31,2,19.4787984,72.7577788
Nilgiri Flowerpecker,Dicaeum concolor,Prabhu Home,2024-09-06 06:46,2,16.1044855,73.697205
Crimson-backed Sunbird,Leptocoma minima,Prabhu Home,2024-09-06 06:46,2,16.1044855,73.697205
Brown Crake,Zapornia akool,"Ujani Dam -- Agneepankh birding area, Bhigwan",2024-09-06 06:20,1,18.2721046,74.7982308
Lesser Whitethroat,Curruca curruca,"Unnamed Road, Yavatmal, Maharashtra, IN (20.051, 78.929)",2024-09-06 06:18,2,20.051182,78.9294696
Alpine Swift,Tachymarptis melba,"Velhe-Panshet Road, Panshet, Maharashtra, IN (18.383, 73.618)",2024-09-05 23:28,2,18.3827343,73.6182301
Oriental Turtle-Dove,Streptopelia orientalis,"Forest Gate Gardi, Maharashtra,",2024-09-05 17:30,1,17.6193565,75.1424493
Striolated Bunting,Emberiza striolata,"Kanifnath via Bopgav Vasti Road, Bopgaon, Maharashtra, IN (18.408, 73.963)",2024-09-05 15:25,1,18.4080873,73.9633555
Long-billed Pipit,Anthus similis,Kanifnath Temple,2024-09-05 15:00,1,18.4142725,73.9530824
White-bellied Sea-Eagle,Icthyophaga leucogaster,"Mochemad Main Road, Girapwadi, Maharashtra, IN (15.803, 73.651)",2024-09-05 09:52,2,15.8031317,73.6510583
Blyth's Reed Warbler,Acrocephalus dumetorum,Pashan Lake,2024-09-05 09:00,1,18.5359505,73.7829606
Red-breasted Flycatcher,Ficedula parva,Anant Nagar (Home),2024-09-05 07:32,1,21.1819408,79.0593714
Painted Sandgrouse,Pterocles indicus,"Echori road stream, Yavatmal",2024-09-05 06:30,3,20.3639954,78.0885351
Great Gray Shrike,Lanius excubitor,"Benwadi, Ahmednagar, Maharashtra, IN",2024-09-04 16:00,2,18.4896667,74.99746
Parasitic Jaeger,Stercorarius parasiticus,"IN (18.836, 72.872)",2024-09-04 08:37,1,18.8364302,72.8720968
Lesser Crested Tern,Thalasseus bengalensis,"IN (18.836, 72.872)",2024-09-04 08:37,1,18.8364302,72.8720968
Laggar Falcon,Falco jugger,Shirsuphal Grassland Safari,2024-09-04 08:25,1,18.2750293,74.5902768
White-browed Fantail,Rhipidura aureola,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-04 06:43,1,20.2945705,79.2579436
Wilson's Storm-Petrel,Oceanites oceanicus,Mora jetty - Uran,2024-09-04 06:40,1,18.9142778,72.9281022
Masked Booby,Sula dactylatra,Mora jetty route,2024-09-03 17:43,1,18.90904,72.830332
River Lapwing,Vanellus duvaucelii,"SH 273, Gondia IN-MH 21.55522, 79.97193",2024-09-03 08:57,9,21.55522,79.971933
Black-breasted Weaver,Ploceus benghalensis,"Moharli, Maharashtra, IN (20.18, 79.331)",2024-09-03 08:55,5,20.1804706,79.3311532
Blue-bearded Bee-eater,Nyctyornis athertoni,Prabhu Home,2024-09-03 06:57,1,16.1044855,73.697205
Brown Shrike,Lanius cristatus,"Bhamdeli Raiyyatwari, Maharashtra, IN (20.189, 79.326)",2024-09-02 17:23,2,20.1887254,79.3256594
Indian Yellow Tit,Machlolophus aplonotus,"Dapawadi, Maharashtra, IN (17.891, 73.811)",2024-09-02 13:37,1,17.8905517,73.8109017
Bank Myna,Acridotheres ginginianus,KATWISHUKA Den,2024-09-02 08:21,2,19.3386586,72.8072204
White-rumped Vulture,Gyps bengalensis,"Mudholi, Maharashtra, IN (20.256, 79.295)",2024-09-02 08:14,1,20.2562433,79.2946833
Malabar Starling,Sturnia blythii,"MSH-4, रंजन्खर डावली, महाराष्ट्र, IN (18.812, 72.94)",2024-09-02 07:45,10,18.8123154,72.9404147
Black-tailed Godwit,Limosa limosa,"MSH-4, रंजन्खर डावली, महाराष्ट्र, IN (18.812, 72.94)",2024-09-02 07:45,2,18.8123154,72.9404147
